,TOP_CHARGE,count,top_charge_level,gun_license,gun_case
331,AGGRAVATED UNLAWFUL USE OF A WEAPON/LOADES FIREARM,1,,,
332,AGGRAVATED UNLAWFUL USE OF A WEAPON/VEH/LOADED/NOFCCA,1,,,
333,AGGRAVATED UNLAWFUL USE OF A WEAPON; NO FOID,1,,,
334,AGGRAVATED UNLAWFUL USE OF WEAPON / VEHICLE,1,,,
335,AGGRAVATED UNLAWFUL USE OF WEAPON-NO CONCEALED,1,,,
336,AGGRAVATED UNLAWFUL USE OF WEAPON/ LOADED FIREARM,1,,,
337,AGGRAVATED UNLAWFUL USE OF WEAPON/ NO FIREARM OWNERSHIP,1,,,
338,AGGRAVATED UNLAWFUL USE OF WEAPON/LOADED FIREARM,1,,,
339,AGGRAVATED UNLAWFULL USE OF A WEAPON,1,,,
340,AGGRAVATED UNLAWFULUSE OF WEAPON,1,,,
341,AGGRAVATED UNLWFL POSSESSION OF A WEAPON,1,,,
342,AGGRAVATED UUW-BY FELON,1,,,
343,AGGRAVATED UUW-FELON,1,,,
344,AGGUNLAWFUL USE OF A WEAPON/PERSON,1,,,
345,AID/ABET BUY VEH ID REMOVED,1,,,
346,ANNUAL GUN  OFFENDER REGISTRATION,1,,,
347,ANNUAL GUN -FAILED TO REGISTER,1,,,
348,ANNUAL GUN OFFENDER REG,1,,,
349,ANNUAL GUN OFFENDER REGISTRATI - L1462481,1,,,
350,ANNUAL GUN OFFENDER REGISTRATI - L1462483,1,,,
351,ANNUAL GUN OFFENDER REGISTRATI - L1462485,1,,,
352,ANNUAL GUN OFFENDER REGISTRATI - L1462486,1,,,
353,ANNUAL GUN OFFENDER REGISTRATI - L1462687,1,,,
354,ANNUAL GUN OFFENDER REGISTRATI - L1467401,1,,,
355,ANNUAL GUN OFFENDER REGISTRATI - L1467441,1,,,
356,ANNUAL GUN OFFENDER REGISTRATI - L1467463,1,,,
357,ANNUAL GUN OFFENDER REGISTRATI - L1467622,1,,,
358,ANNUAL GUN OFFENDER REGISTRATI - L1467624,1,,,
359,ANNUAL GUN OFFENDER REGISTRATI - L1469676,1,,,
360,ANNUAL GUN OFFENDER REGISTRATI - L1513834,1,,,
361,ANNUAL GUN OFFENDER REGISTRATI - L1524161,1,,,
362,ANNUAL GUN OFFENDER REGISTRATI - L1524162,1,,,
363,ANNUAL GUN OFFENDER REGISTRATI - L1524166,1,,,
364,ANNUAL GUN OFFENDER REGISTRATI - L1524176,1,,,
365,ANNUAL GUN OFFENDER REGISTRATI - L1524261,1,,,
366,ANNUAL GUN OFFENDER REGISTRATI - L1524953,1,,,
367,ANNUAL GUN OFFENDER REGISTRATI - L1524955,1,,,
368,ANNUAL GUN OFFENDER REGISTRATI - L1534973,1,,,
369,ANNUAL GUN OFFENDER REGISTRATI - L1536368,1,,,
370,ANNUAL GUN OFFENDER REGISTRATI - L1536370,1,,,
371,ANNUAL GUN OFFENDER REGISTRATI - L1553201,1,,,
372,ANNUAL GUN OFFENDER REGISTRATI - L1566769,1,,,
373,ANNUAL GUN OFFENDER REGISTRATI - L1566770,1,,,
374,ANNUAL GUN OFFENDER REGISTRATI - L1566772,1,,,
375,ANNUAL GUN OFFENDER REGISTRATI - L1566922,1,,,
376,ANNUAL GUN OFFENDER REGISTRATI - L1566923,1,,,
377,ANNUAL GUN OFFENDER REGISTRATI-TZ126001,1,,,
378,ANNUAL GUN OFFENDER REGISTRATION - L1524174,1,,,
379,ANNUAL GUN OFFENDER REGISTRATION - L1536343,1,,,
380,ANNUAL GUN OFFENDER REGISTRATION |  NON COMPLIANT,1,,,
381,ARMED HABITUAL CRIM,1,,,
382,ARMED ROBBERY,1,,,
383,ARMED VIOLENCE,1,,,
384,ARMED VIOLENCE/CATEGORY I/II,1,,,
385,ATTEMPT DISARM PC OFF/CORR EMP,1,,,
386,ATTEMPT MURDER/INTENT TO KILL/INJURE,1,,,
387,ATTEMPT RECEIVE/POSS/SELL STOLEN VEH,1,,,
388,ATTEMPT ROBBERY - ARMED W/ FIREARM,1,,,
389,ATTEMPTED MURDER - FIRST DEGREE,1,,,
390,AUTO WEAPON/SAWED OFF SHOT GUN,1,,,
391,Aggravated Unlawful Use Weapon,1,,,
392,Attempt Residential Burglary,1,,,
393,BURGLARY - POSSESSION OF BURGL,1,,,
394,CANNABIS - MFG/DEL - 10-30 GRM,1,,,
395,CANNABIS - MFG/DEL - SCHOOL -,1,,,
